Archivo_Origen,Clase_C++,Dialecto,Operacion_JSON_op,Descripcion
ArithOps.td,Arith_AddUIExtendedOp,arith,arith.addui_extended,Sin descripción
ArithOps.td,Arith_SubUIExtendedOp,arith,arith.subui_extended,Sin descripción
ArithOps.td,Arith_MulSIExtendedOp,arith,arith.mulsi_extended,Sin descripción
ArithOps.td,Arith_MulUIExtendedOp,arith,arith.mului_extended,unsigned integer division operation
ArithOps.td,Arith_ScalingExtFOp,arith,arith.scaling_extf,Upcasts input floats using provided scales values following
ArithOps.td,Arith_TruncIOp,arith,arith.trunci,integer truncation operation
ArithOps.td,Arith_TruncFOp,arith,arith.truncf,cast from floating-point to narrower floating-point
ArithOps.td,Arith_ConvertFOp,arith,arith.convertf,cast between floating-point types of the same bitwidth
ArithOps.td,Arith_ScalingTruncFOp,arith,arith.scaling_truncf,Downcasts input floating point values using provided scales
ArithOps.td,SelectOp,arith,arith.select,select operation
IRDLOps.td,IRDL_DialectOp,irdl,irdl.dialect,Define a new dialect
IRDLOps.td,IRDL_TypeOp,irdl,irdl.type,Define a new type
IRDLOps.td,IRDL_AttributeOp,irdl,irdl.attribute,Define a new attribute
IRDLOps.td,IRDL_ParametersOp,irdl,irdl.parameters,Define the constraints on parameters of a type/attribute definition
IRDLOps.td,IRDL_OperationOp,irdl,irdl.operation,Define a new operation
IRDLOps.td,IRDL_OperandsOp,irdl,irdl.operands,Define the operands of an operation
IRDLOps.td,IRDL_ResultsOp,irdl,irdl.results,Define the results of an operation
IRDLOps.td,IRDL_AttributesOp,irdl,irdl.attributes,Define the attributes of an operation
IRDLOps.td,IRDL_RegionOp,irdl,irdl.region,Define a region of an operation
IRDLOps.td,IRDL_RegionsOp,irdl,irdl.regions,Define the regions of an operation
IRDLOps.td,IRDL_CPredOp,irdl,irdl.c_pred,Constraints an attribute using a C++ predicate
ComplexOps.td,BitcastOp,complex,complex.bitcast,computes bitcast between complex and equal arith types
ComplexOps.td,ConstantOp,complex,complex.constant,complex number constant operation
ComplexOps.td,CreateOp,complex,complex.create,complex number creation operation
ComplexOps.td,EqualOp,complex,complex.eq,computes whether two complex values are equal
ComplexOps.td,NotEqualOp,complex,complex.neq,computes whether two complex values are not equal
ComplexOps.td,PowiOp,complex,complex.powi,complex number raised to signed integer power
MemRefOps.td,AssumeAlignmentOp,memref,memref.assume_alignment,assumption that gives alignment information to the input memref
MemRefOps.td,DistinctObjectsOp,memref,memref.distinct_objects,assumption that acesses to specific memrefs will never alias
MemRefOps.td,MemRef_ReallocOp,memref,memref.realloc,memory reallocation operation
MemRefOps.td,MemRef_AllocaScopeOp,memref,memref.alloca_scope,explicitly delimited scope for stack allocation
MemRefOps.td,MemRef_AllocaScopeReturnOp,memref,memref.alloca_scope.return,terminator for alloca_scope operation
MemRefOps.td,MemRef_CastOp,memref,memref.cast,memref cast operation
MemRefOps.td,CopyOp,memref,memref.copy,Sin descripción
MemRefOps.td,MemRef_DeallocOp,memref,memref.dealloc,memory deallocation operation
MemRefOps.td,MemRef_DimOp,memref,memref.dim,dimension index operation
MemRefOps.td,MemRef_DmaStartOp,memref,memref.dma_start,non-blocking DMA operation that starts a transfer
MemRefOps.td,MemRef_DmaWaitOp,memref,memref.dma_wait,blocking DMA operation that waits for transfer completion
MemRefOps.td,MemRef_ExtractAlignedPointerAsIndexOp,memref,memref.extract_aligned_pointer_as_index,Extracts a memref's underlying aligned pointer as an index
MemRefOps.td,MemRef_ExtractStridedMetadataOp,memref,memref.extract_strided_metadata,Extracts a buffer base with offset and strides
